Index	TimeStamp      	ID        	Length    	Data1 	Data2 	Data3 	Data4 	Data5 	Data6 	Data7 	Data8 	Checksum    
137  	3609.839    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
138  	3619.848    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
139  	3679.853    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
140  	3689.842    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
141  	3749.845    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
142  	3759.85     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
143  	3769.885    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
144  	3779.855    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
145  	3839.851    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
146  	3849.848    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
147  	3859.867    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
148  	3869.888    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
149  	3929.845    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
150  	3939.854    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
151  	3999.855    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
152  	4009.848    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
153  	4069.89     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
154  	4079.859    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
155  	4089.848    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
156  	4099.856    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
157  	4159.856    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
158  	4169.427    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
159  	4179.395    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
160  	4189.385    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
161  	4249.388    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
162  	4259.393    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
163  	4319.394    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
164  	4329.387    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
165  	4389.387    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
166  	4399.394    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
167  	4409.388    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
168  	4419.396    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
169  	4479.4      	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
170  	4489.389    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
171  	4499.397    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
172  	4509.391    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
173  	4569.432    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
174  	4579.402    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
175  	4639.4      	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
176  	4649.396    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
177  	4709.392    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
178  	4719.4      	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
